Day,PopName,BV785_B220,PECy5_CD3-CD19-NK11,FITC_Ly6C,PE_CD115,BV605_CD11b,APCCy7_Ly6G,SSC-A,BV421_CD117,BV510_SCA-1
0,B_cells_unactivated,529.4619690071426,428.84536986759116,260.0583100121131,285.0120086880247,276.9975564930454,270.878680923938,57.097322584687355,344.5552608495886,322.57587402364146
0,B_cells_activated,547.418278346606,475.4762988244217,431.17747440273035,427.06332954114527,395.90860826697,342.5328024270004,171.60940462646948,443.9059537353053,540.5240803943875
0,Eosinophil_unactivated,275.73619842267686,315.4335352611727,632.8642130529204,603.9382786604183,511.9231912218539,330.91301863070066,378.0868670705224,552.781003543262,491.61938507257975
0,Eosinophil_activated,291.0325732899023,339.7947882736156,657.5081433224756,640.9739413680782,485.0618892508143,350.3029315960912,621.6872964169381,638.8078175895765,575.5309446254072
0,Mature_Ly6C-_monocyte_unactivated,270.33628997867805,241.0630277185501,816.6410234541578,604.9105330490405,496.95974413646053,301.39334754797443,90.21168443496802,429.8514285714286,330.9068656716418
0,Mature_Ly6C+_monocyte_activated,289.43231441048033,270.12663755458516,826.6244541484716,626.231441048035,534.2096069868995,313.7117903930131,103.65065502183405,450.3930131004367,498.0655021834061
0,Monoblast_unactivated,259.6937607326846,243.75558099599314,764.0492272467086,628.4487693188323,318.7040641099027,295.1230681167716,155.75100171722954,679.4247281053234,370.1997710360618
0,Monoblast_activated,272.02941176470586,270.1470588235294,773.8088235294117,643.6323529411765,320.1764705882353,312.2352941176471,170.80882352941177,706.8676470588235,492.45588235294116
0,Neutrophil_unactivated,256.82479676156703,216.494162122378,601.6233648924425,301.06629085677963,582.3350172292663,544.9985614398983,59.29416881335519,471.28806329664445,331.87588237262054
0,Neutrophil_activated,282.14219114219117,320.3286713286713,597.5827505827506,559.5128205128206,543.5827505827506,466.06060606060606,341.6620046620047,551.5687645687645,517.4895104895105
0,PDC_unactivated,518.0982787340366,233.8045530260966,448.317046085508,298.81510272071074,327.8484175458079,296.98167684619654,66.92726263187119,370.5719044975014,352.4069961132704
0,PDC_activated,559.5783132530121,226.81425702811245,568.9156626506024,303.08032128514054,290.01807228915663,280.88654618473896,71.94377510040161,360.9186746987952,565.683734939759
0,Stem_and_progenitors_unactivated,265.75072129255625,241.22879399884593,307.2279284477784,366.30986728216965,310.6197345643393,293.83410271206003,116.4734564339296,662.3508366993652,363.5611656087709
0,Stem_and_progenitors_activated,273.031746031746,240.22902494331066,312.1541950113379,391.1065759637188,384.89115646258506,290.9047619047619,107.31746031746032,699.7732426303855,562.1904761904761
0,T-NK_cells_unactivated,245.66732051785013,447.70027461749703,494.9325225578658,299.95292271479013,271.6394664574343,276.5947430364849,61.978030600235385,381.7944291879168,343.9309533150255
0,T-NK_cells_activated,245.41226708074535,444.42158385093165,560.5993788819876,391.37655279503105,332.889751552795,307.59316770186336,152.5,431.43633540372673,566.2701863354038
1,B_cells_unactivated,547.3422645485157,434.7724089491189,267.945751647489,287.37407812919616,270.259817794947,251.84380358212655,59.09463507343979,334.4426632511827,339.3651744582395
1,B_cells_activated,577.155971753147,485.16472213693584,395.07245931839117,378.1327909118821,342.80426773104085,281.9037457783236,125.94304574762052,394.8266809947805,532.8701258827142
1,Eosinophil_unactivated,277.0702402957486,309.61955973785916,663.667618887582,596.1368677533188,483.6230885565451,315.8185178961519,380.266089732818,573.0547807091245,491.9075785582255
1,Eosinophil_activated,294.56947162426616,336.23679060665364,660.6888454011741,646.2211350293542,455.13502935420746,332.30528375733854,583.5401174168297,620.8610567514677,578.1526418786693
1,Mature_Ly6C-_monocyte_unactivated,270.8161411925977,251.53401302261824,813.0449794379712,602.9527930089102,529.615575736806,284.0743660041124,123.45167923235093,457.57839273474985,369.46675805346126
1,Mature_Ly6C+_monocyte_activated,288.8053820278712,272.7385872176838,828.3128303700145,628.0221047573282,567.963959634791,286.3152330610284,129.53099471407978,474.69678039404135,527.6621816434407
1,Monoblast_unactivated,260.86742424242425,256.84974747474746,772.47601010101,601.6401515151515,315.29671717171715,281.67045454545456,193.32828282828282,651.1035353535353,398.0391414141414
1,Monoblast_activated,272.215859030837,276.7533039647577,797.3568281938326,629.9295154185022,319.18502202643174,287.01762114537445,214.69162995594715,654.590308370044,505.5242290748899
1,Neutrophil_unactivated,259.1088824197671,215.60590031241125,615.9690073842659,312.17803890940075,594.6776838966202,527.1018886679921,71.77889804032945,467.7100255609202,346.5683399602386
1,Neutrophil_activated,279.47701149425285,306.617816091954,612.1752873563219,541.7557471264367,555.4683908045977,479.5632183908046,317.6666666666667,541.830459770115,520.8103448275862
1,PDC_unactivated,512.9750819672131,236.07475409836064,452.1560655737705,306.3888524590164,326.344262295082,284.6662295081967,74.00786885245901,367.98754098360655,368.8203278688525
1,PDC_activated,555.088801828273,232.37349004244206,645.4645772118838,311.0205680705191,285.73685928827945,266.8021547502449,77.77211883774078,356.2673849167483,594.5106105125694
1,Stem_and_progenitors_unactivated,268.2954379116858,249.95633081239328,322.79702366430837,355.1876067333496,303.22883630153694,280.84288850939254,133.16418638692363,658.170773359356,379.9307148084899
1,Stem_and_progenitors_activated,276.7533960292581,266.5778474399164,344.6353187042842,406.65203761755487,353.0700104493208,280.31347962382443,148.3657262277952,683.2873563218391,574.6457680250784
1,T-NK_cells_unactivated,242.7178624813154,449.2002989536622,473.43273542600895,299.24252615844546,262.0642750373692,262.4736547085202,71.73991031390135,372.0902466367713,365.82249626307924
